file,size_kb,status
chapter-1.md,15.4,todo
chapter-2.md,14.8,todo
chapter-3.md,14.8,todo
chapter-4.md,14.2,todo
chapter-5.md,14.6,todo
chapter-6.md,14.2,todo
chapter-7.md,14.1,todo
chapter-8.md,14.4,todo
chapter-9.md,15.4,todo
chapter-10.md,14.8,todo
chapter-11.md,14.3,todo
chapter-12.md,14.7,todo
chapter-13.md,14.3,todo
chapter-14.md,14.5,todo
chapter-15.md,14.5,todo
chapter-16.md,13.5,todo
chapter-17.md,14.4,todo
chapter-18.md,14.3,todo
chapter-19.md,14.4,todo
chapter-20.md,14.7,todo
chapter-21.md,14.8,todo
chapter-22.md,15.0,todo
chapter-23.md,15.6,todo
chapter-24.md,14.6,todo
chapter-25.md,14.3,todo
chapter-26.md,15.1,todo
chapter-27.md,14.0,todo
chapter-28.md,17.8,todo
chapter-29.md,14.0,todo
